"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"1"	"0610007P14Rik"	1185	2.36499932023558	7.29025196019552	94.7591997987106	2.57550335795978e-07	3.0871756937198e-06
"2"	"0610009B22Rik"	795	2.13733068132239	3.77480381886013	43.4421980886663	1.78769603879461e-05	8.11928408604994e-05
"3"	"0610009L18Rik"	619	-3.23523398047477	1.98707433392377	51.5259211156297	7.40301085361519e-06	3.98134069283171e-05
"4"	"0610009O20Rik"	2404	-0.31261517054798	2.80567839810452	1.07612214524682	0.318581957017554	0.379991337382664
"5"	"0610010F05Rik"	4140	1.12211218151787	2.24280618824022	10.9134614913789	0.00574746882998608	0.0109009936583497
"6"	"0610010K14Rik"	913	0.000112618675804907	7.34462916910693	1.86000691767982e-07	0.999662474241	0.999822138416912
"7"	"0610011F06Rik"	811	-0.568242456771694	6.37771668109989	7.7309267508745	0.015671374718961	0.0264570284759332
"8"	"0610012G03Rik"	1471	0.115358171044433	6.75771297668202	0.238511815187086	0.633462639552742	0.687874168972328
"9"	"0610030E20Rik"	4634	-0.358045489983629	4.99657488671647	2.50924632064081	0.137328130712322	0.180909834332382
"10"	"0610037L13Rik"	1551	0.349393883079123	6.88667132636763	2.43675106510288	0.142660039462454	0.187118413169359
"11"	"0610039H22Rik"	730	-3.71774373894319	3.02616071001065	63.6222470621833	2.39577117227442e-06	1.63830579565113e-05
"12"	"1110001J03Rik"	441	-0.0353131327446844	5.97994843301842	0.013732088715407	0.908515292544198	0.924709861038747
"13"	"1110002L01Rik"	3300	2.04608703306316	2.49744379574304	43.5820844754704	1.75874088226438e-05	8.00901142574803e-05
"14"	"1110004E09Rik"	1163	1.78785507004864	6.53540049695414	65.6963565040444	2.0110077118802e-06	1.43237264467808e-05
"15"	"1110004F10Rik"	1400	0.877288298559383	8.07084633445669	15.3008032197673	0.0018045686379775	0.00397159667261944
"16"	"1110006O24Rik"	768	-3.22183639461397	0.781945940565659	49.1840763408856	9.44152363909253e-06	4.83989925000464e-05
"17"	"1110007C09Rik"	804	-2.68472542603315	4.92713570712122	137.498378640257	2.92095165366359e-08	6.85681376948731e-07
"18"	"1110008F13Rik"	1050	1.34173713840253	5.84871894802465	18.0451102822811	0.000962365710635902	0.00230779159447405
"19"	"1110008L16Rik"	3117	1.62563316858269	3.92578991112735	28.1741707168602	0.000144616534439425	0.00045706295847737
"20"	"1110008P14Rik"	657	0.0345381850271882	5.55258240629538	0.0137382637559013	0.90849482664689	0.924709861038747
"21"	"1110012L19Rik"	1057	-0.445506183325881	4.62953565468345	3.79991497639602	0.0732878523473102	0.104097919627647
"22"	"1110020A21Rik"	1220	-4.67162039982386	0.772877132749885	41.2636561503873	2.31807365695489e-05	0.000100147797587988
"23"	"1110032A03Rik"	1782	-1.84692409430179	2.76943459406271	38.0361778921937	3.47649927318964e-05	0.000138762949630459
"24"	"1110032F04Rik"	2578	5.20679023211065	4.53851218216134	136.327419504827	3.0732571355855e-08	7.06642882316505e-07
"25"	"1110034G24Rik"	1471	-1.63808032282269	5.08686969838875	55.1713423103186	5.15846599852769e-06	2.95863356768234e-05
"26"	"1110037F02Rik"	7115	-0.688942292806967	3.91870990961515	4.06693980779499	0.0649941299559454	0.0938215825403381
"27"	"1110038B12Rik"	589	2.28900981843028	5.90665778480436	44.9593964039542	1.50079231294113e-05	7.00329697811293e-05
"28"	"1110038F14Rik"	1091	0.0559381466205104	6.44605686472278	0.0570908662961332	0.814900614853496	0.846271447859375
