"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"1"	"0610007P14Rik"	1185	-0.903899083401321	7.60403972510047	33.4497454761561	0.000374568483740389	0.00669533021892821
"2"	"0610009B22Rik"	795	-1.14354090321316	4.04922202852359	29.0784620145469	0.000597154170846967	0.0088056679597778
"3"	"0610009L18Rik"	619	0.119059512010348	0.0474840800897278	0.0697778582257756	0.798169994500883	0.869577189260131
"4"	"0610009O20Rik"	2404	0.23487132783734	2.64681368644261	0.85751268974717	0.380847869372	0.535113383650774
"5"	"0610010F05Rik"	4140	-0.424025868124456	2.39306722933338	2.71566152723513	0.137009875438304	0.267258967499503
"6"	"0610010K14Rik"	913	-0.280437512817628	7.18764765207043	2.19878824342931	0.175451786382857	0.315757916379443
"7"	"0610011F06Rik"	811	0.128596328235582	6.08828665242769	0.652082838925192	0.44213223247491	0.590335451057771
"8"	"0610012G03Rik"	1471	-0.365034073157922	6.63327396906132	4.86704245478537	0.0575872776514778	0.151376480742171
"9"	"0610030E20Rik"	4634	-0.0336264820202357	4.76203238277551	0.0370060088406578	0.852125699786111	0.906546728330571
"10"	"0610037L13Rik"	1551	-0.0629370538502753	6.88262849692729	0.141063733459766	0.716743607748917	0.809882453874601
"11"	"0610039H22Rik"	730	1.26570907259515	1.23631056892673	10.0833686580275	0.0126563366677166	0.0583065119994582
"12"	"1110001J03Rik"	441	-0.298543221867482	5.80152395464476	1.82940043903029	0.212265607674419	0.358649665572527
"13"	"1110002L01Rik"	3300	-1.00020923947486	2.76613470557446	18.3879825519717	0.00250303572436665	0.0214028295965394
"14"	"1110004E09Rik"	1163	-0.56236075888656	6.79212274568678	13.0235620969495	0.00660010232384162	0.0387633438196824
"15"	"1110004F10Rik"	1400	-0.266054398714868	8.18333657267237	3.39814382397205	0.101554490373454	0.218044088585411
"16"	"1110006O24Rik"	768	1.37274918145033	-0.48832280442039	6.96177027555143	0.0291270016762444	0.0984760931672499
"17"	"1110007C09Rik"	804	0.76066684135613	3.65066471342361	15.844126683099	0.00385144868792698	0.0275813108382473
"18"	"1110008F13Rik"	1050	-0.48560266252455	6.03380746645483	7.80881656534588	0.0228128848734053	0.0837395824031641
"19"	"1110008L16Rik"	3117	-0.121804276338419	4.19461708751181	0.260787792145535	0.623023395294065	0.740023161606654
"20"	"1110008P14Rik"	657	-0.481276205951947	5.37531930873949	5.34760025647001	0.0486956766937063	0.135305262248692
"21"	"1110012L19Rik"	1057	-0.0106179757876597	4.36080885346934	0.00328885567977436	0.955638674210798	0.972288090827418
"22"	"1110020A21Rik"	1220	1.60439051122779	-1.38506273947914	4.8954100945728	0.0570076780946532	0.150440257968931
